Aston Martin Lagonda Limited	1913	Gaydon, Warwickshire
Advanced Micro Devices, Inc.	1969	One AMD Place,&lt;ref&gt;http://www.amd.com/us/aboutamd/Pages/AboutAMD.aspx AMD Headquarters. Retrieved September 24, 2011.&lt;/ref&gt;&lt;br /&gt;Sunnyvale, California|Sunnyvale, California, United States
Arianespace	1980	Courcouronnes
British Railways&lt;br&gt;British Rail	1948	Wichita, Kansas
 Bombardier Inc.	1942	Molsheim, Alsace
British Steel PLC	1967	Molsheim, Alsace
The Birmingham Small Arms Company Limited (BSA)	1861	Birmingham
Ducati Motor Holding S.p.A.	1926	Bologna
Ibanez Guitars	1957	 Nagoya, Aichi
Imperial Airways	1924	Croydon
Automobili Lamborghini S.p.A.{{Sfn|Volkswagen AG|2012|p=151}}	1963	Sant'Agata Bolognese
Mattel, Inc.	1945	Microsoft Redmond Campus, Redmond, Washington
	1969	
Adam Opel AG	1862	Rüsselsheim, Hesse
Railtrack	1994	Hollywood, California
Standard Oil Co. Inc.| logo   = [[File:Standard Oil Logo.svg|245px|Standard Oil Company logo c. 1911]]	1870	Austin, Texas
[[File:Volvo logo.svg|center|200px|Volvo logo]]	1927	Shinjuku, Tokyo
Volkswagen Aktiengesellschaft	1937	Wolfsburg
PARC	1970	Palo Alto, California
Pilbara Iron	2004	Perth, Western Australia
Kamov	1929	Dallas, Texas
Antonov State Company	1946	Kiev
AviaBellanca Aircraft Corporation	1927	Kiev
OJSC Ilyushin Aviation Complex	1933	Moscow
19 July 1948	1948	Milwaukee, Wisconsin
Gulf Oil Corporation	1901	Hamburg
ITT Corporation	1920	Pančevo
Lockheed Martin&lt;!-- infobox source: http://www.hoovers.com/lockheed-martin/--ID__10903--/free-co-factsheet.xhtml --&gt;	1995	Dalton, Georgia

	1984	Turin 
Compagnie Générale des Établissements Michelin SCA	1889	Clermont-Ferrand
Swatch Group Ltd.	1983	Biel
Tallink Silja Oy	1957	Duluth, Georgia
Cunard Line	1840	Los Altos, California|Los Altos, California
National Express Group	1972	Alameda, California &amp; Chapel Hill, North Carolina
Dassault Systèmes S.A.	1981	 Bristol
	1927	Dartford, Kent
Merger with [[Thomas Cook AG]]|	1972	Washington, D.C.
Alstom S.A.	1928	Washington, D.C.
MAN SE	1758	Beaverton, Oregon
Network Rail 	2002	Beaverton, Oregon
Mackintosh	1846	Cumbernauld, Scotland
PeopleSoft	1987	
Cosworth	1958	Abrest
DB Schenker Rail	2000	Mainz
Nederlandse Spoorwegen	1938	Utrecht (city)|Utrecht
	1876	&lt;!--modifies &quot;Headquarters&quot; entry--&gt;
Connexxion Holding N.V.	1999	Hilversum
	1938	Hilversum
Bobcat Company	1947	Hilversum
Deutsche Bahn AG	1947	Berlin
Piaggio &amp; C. SpA	1884	Pontedera
Great Central Railway	1897	One Astor Plaza&lt;br&gt;Manhattan, New York City, New York
General Motors UK Limited&lt;br /&gt;([[doing business as|trading as]] Vauxhall Motors)	1857	Luton, Bedfordshire, UK
C. F. Martin &amp; Company	1833	Nazareth, Pennsylvania
Indian Motorcycle Company	1901	Medina, Minnesota
East Japan Railway Company&lt;br /&gt;東日本旅客鉄道株式会社	1987	2-2-2 Yoyogi, Shibuya, Tokyo
Association of Train Operating Companies&lt;br&gt;ATOC	1994	Atlantic City, New Jersey
Alyeska Pipeline Service Company|	1970	Ōta, Tokyo 
	1935	Ōta, Tokyo 
Bethlehem Steel Corporation	1857	Ōta, Tokyo 
Bentley Systems, Inc.	1984	
Koch Industries, Inc.	1940	Wichita, Kansas|Wichita, Kansas
BHP Billiton Limited &amp; Plc	1885	London
 [[File:Halliburton logo.svg|center|250px]]	1919	Delaware
Mitsubishi Fuso Truck and Bus Corporation&lt;br&gt;&lt;span lang=&quot;ja&quot;&gt;三菱ふそうトラック・バス株式会社&lt;/span&gt;	1932	Irving, Texas|Irving, Texas
Trek Bicycle Corporation |	1976	 Waterloo, Wisconsin |
Scania Aktiebolag (publ)	1900	Stratford-upon-Avon
Bath Iron Works	1884	Bath, Maine
Blue Bird Corporation	1927	402 Blue Bird Blvd &lt;br /&gt;P.O. Box 937&lt;br /&gt;Fort Valley, GA 31030
Scaled Composites, LLC	1982	402 Blue Bird Blvd &lt;br /&gt;P.O. Box 937&lt;br /&gt;Fort Valley, GA 31030
Vaio Corporation	1996	
Iron Crown Enterprises	1980	Irvine, California|Irvine, California
Renfe Operadora	1941	Madrid
SBB CFF FFS	1902	Bern
Viking Line Abp	1963	Deutsch-Wagram
[[File:YKK Group Logo.svg]]	1934	 Helsinki
BlueScope Steel	2002	Tustin, California
Hindustan Aeronautics Limited	1940	Hamburg
Studio Ironcat	1997	Fredericksburg, Virginia
Casio Computer Co., Ltd.&lt;br /&gt;カシオ計算機株式会社	1957	Fredericksburg, Virginia
Raytheon 	1922	Fujinomiya, Shizuoka|Fujinomiya, Shizuoka Prefecture|Shizuoka
ATR	1981	Redwood City, CA|Redwood City, California
MG Rover Group 	2000	Crawley, Sussex
Pierce-Arrow	1901	Buffalo, New York
Helsinki City Transport&lt;br&gt;Helsingin kaupungin liikennelaitos&lt;br&gt;Helsingfors stads trafikverk	1945	Helsinki
Kowloon–Canton Railway Corporation&lt;br&gt;{{linktext|九廣|鐵路|公司}}	1982	Fo Tan
Alien Technology	1994	Morgan Hill, California
