// This is just a sample of the CSV of all the coordinates
// Run the code designated for the CSV to get the full CSV

Principality of Andorra	42	1
Aruba	12	-70
Republic of Angola	-8	13
Islamic Republic of Afghanistan	34	69
Republic of Albania	41	19
Republic of Azerbaijan	40	49
	39	32
&lt;!-- See Template:Infobox settlement for additional fields and descriptions --&gt;
	52	4
Antigua and Barbuda	17	-61
Azincourt	50.46	2.13
Aarhus	56	10
city	34	138
Anguilla	= |	= |
Casa Batlló		
Casa Milà		
Anbar	33	43
Anazarbus	37	35
Abbotsford House	55	2
Abydos	26	31
Abydos	40	26
Acapulco de Juárez	16	-99
	None	None
	None	None
Aberdeen	57.1526	-2.1100
Algiers	36	3
'Anah	34	41
Astoria, Oregon	46	-123
Ābādān	30	48
act	35	149
Austin, Texas	30	-97
Auschwitz	50	19
Ann Arbor, Michigan	42	-83
Acropolis, Athens	37.971	23.726
Homey Airport	37	-115
Alicante	38	0
Abadeh	31	52
		
Arc de Triomphe	48.8738	2.2950
&lt;!--See the Table at Infobox Settlement for all fields and descriptions of usage--&gt;
	24	32
Abano Terme	45	11
Aeclanum	41	15
Ajaccio	41.9267	8.7369
right	20.552377	75.700436
Ajmer	26.45	74.64
                Wales		
&lt;!--See the Table at Infobox Settlement for all fields and descriptions of usage--&gt;
	45	-98
51.824	51.824	-3.0167
                Wales		-3.0587
Andalusia	37	-5
Azad Jammu and Kashmir 	34.22	73.28
Alcobaça	39	-8
&lt;!--See the table at Template:Infobox settlement for all fields and descriptions of their usage.--&gt;
	37	-122
		
City of Alexandria, Indiana	40	-85
Alexandria Troas	39	26
inline,title	43	25
&lt;!--See the Table at Infobox Settlement for all fields and descriptions of usage--&gt;
	32	-84
&lt;!--See the Table at Infobox Settlement for all fields and descriptions of usage--&gt;
	33	-84
Scotland		
Aveiro	40	-8
&lt;!--See Template:Infobox Settlement for additional fields that may be available--&gt;
	40	-73
Kingdom of Belgium	50	4
	52	13
Federative Republic of Brazil	-15	-47
Republic of Bulgaria	42	23
Bursa 	40	29
the Bahamas	25	-77
{{unbulleted list |&lt;big&gt;{{lang|bn|গণপ্রজাতন্ত্রী বাংলাদেশ}}&lt;/big&gt; |&lt;small&gt;{{native name|bn|Gônôprôjatôntri Bangladesh}}&lt;/small&gt;}}	23	90
Barbados	13	-59
Republic of Belarus	53	27
Belize	17	-88
Republic of Benin	6	2
Bermuda	32	-64
Bosnia and Herzegovina 	43	18
Republic of Botswana	-24	25
Nation of Brunei, Abode of Peace	4	114
Virgin Islands	18	-64
Burkina Faso	12	-1
[[Regions of Belgium|Region of Belgium]]	50	4
Free State of Bavaria	48	11
Brandenburg	52	13
Bitola	41	21
Bletchley Park	51.99651	-0.74276
National Baseball Hall of Fame&lt;br /&gt;and Museum	42.700322	-74.92369
Bordeaux	44.84	-0.58
	50.408	-4.667
Barcelonnette	44.3867	6.6531
Battle of Stalingrad	48.8047	44.5858
	31	35
&lt;!-- See Template:Infobox settlement for additional fields and descriptions --&gt;
	41	2
&lt;!-- See Template:Infobox settlement for additional fields and descriptions --&gt;
	33	44
Boone	36	-81
Bishkek	42	74
	40	49
Bank of China Tower 	22	114
Birka	59	17
British Museum	51.519459	-0.126931
Balochistan		
Bayonne 	43.49	-1.48
Brasília	15	47
Bisotun	34.388333	47.436667
	38.129426	23.974714
St Petroc's Church, Bodmin	   50.466	   -4.718
City of Berkeley	37	122
Bengal 	24	88
city	37	143
Battle of [[Berestechko]]		
Belfast	54.597	-5.930
Copenhagen	55	12
Republic of Colombia	4	-74
Czech Republic	50	14
Czechoslovakia	50	14
Union of the Comoros	-11	43
Republic of Cameroon	3	11
Cayman Islands	19	-81
Central African Republic	4	18
Republic of Chad	12	16
Republic of Chile	-33	-70
Republic of Costa Rica	9	-84
Republic of Croatia	45	16
Republic of Cyprus	35	33
Cambridge, Massachusetts	42	-71
